title,color,emotion,speech,goal,subgoal,proficiency
cat,Yellow,Surprised,cat,Cognitive,Following directions,Exposure
cow,Blue,Surprised,cow,Cognitive,Following directions,Exposure
tree,Orange,Surprised,tree,Cognitive,Following directions,Exposure
frog,Green,Surprised,frog,Cognitive,Following directions,Exposure
horse,Purple,Surprised,horse,Cognitive,Following directions,Exposure
airplane,Red,Surprised,airplane,Cognitive,Following directions,Exposure
warrior,Yellow,Surprised,warrior,Cognitive,Following directions,Exposure
e i e i o,Light Blue,Happy,EE eye EE eye oh,Communication,Expressive language,Exposure
with a,Light Blue,Happy,with a,Cognitive,Following directions,Exposure
Do your best imitation,Light Blue,Neutral,Do your best imitation,Cognitive,Following directions,Practicing
try to sound like a,Orange,Neutral,try to sound like a,Cognitive,Following directions,Practicing
make the shape of a,Green,Neutral,make the shape of a,Cognitive,Following directions,Practicing
I am still learning to make animal sounds.,Orange,Concerned,I am still learning to make animal sounds.,Emotional,Empathy,Exposure
it is a hard thing for a robot to learn,Orange,Sad,it is a hard thing for a robot to learn,Emotional,Empathy,Exposure
but I try my best,Orange,Happy,but I try my best,Emotional,Empathy,Exposure
can you help me learn to be better ,Yellow,Concerned,can you help me learn to be better ,Social,Compliments,Exposure
Ok,Orange,Neutral,Ok,Communication,None,Exposure
Great job,Green,Neutral,Great job,Social,Compliments,Exposure
you are good at making shapes,Green,Happy,you are good at making shapes,Social,Compliments,Exposure
you look just like a,Green,Surprised,you look just like a,Social,Compliments,Exposure
Robots are not so good at shapes,Green,Sad,Robots are not so good at shapes,Emotional,Empathy,Exposure
Here is my best try,Green,Neutral,Here is my best try,Emotional,Empathy,Exposure
let me try again,Light Blue,Concerned,let me try again,Emotional,Empathy,Exposure
what did you think,Blue,Concerned,what did you think,Social,Criticism,Practicing
Thank you,Green,Happy,Thank you,Communication,Being Polite,Exposure
It is great who have someone to teach me,Yellow,Happy,It is great who have someone to teach me,Social,Joining others,Exposure
I will try harder next time,Yellow,Happy,I will try harder next time,Social,None,Exposure
woof woof ,Pink,Surprised,woof woof ,Cognitive,Following directions,Exposure
Here,Red,Happy,Here,Cognitive,Following directions,Exposure
There,Yellow,Happy,There,Cognitive,Following directions,Exposure
Everywhere,Green,Happy,Everywhere,Cognitive,Following directions,Exposure
A ,Light Blue,Happy,A ,Cognitive,Following directions,Exposure
Old Mac donald had a farm,Light Blue,Happy,Old Mac donald had a farm,Communication,Sharing ideas,Exposure
e i e i o,Light Blue,Happy,EE eye EE eye oh,Cognitive,Following directions,Exposure
meow meow,Yellow,Surprised,meow meow,Cognitive,Following directions,Exposure
moo moo,Blue,Surprised,moo moo,Cognitive,Following directions,Exposure
woosh woosh,Orange,Surprised,woosh woosh,Cognitive,Following directions,Exposure
ribit ribit,Green,Surprised,ribit ribit,Cognitive,Following directions,Exposure
nay nay,Purple,Surprised,nay nay,Cognitive,Following directions,Exposure
zoom zoom,Red,Surprised,zoom zoom,Cognitive,Following directions,Exposure
yeah yeah,Yellow,Surprised,yeah yeah,Cognitive,Following directions,Exposure
Here,Red,Happy,Here,Cognitive,Following directions,Exposure
There,Yellow,Happy,There,Cognitive,Following directions,Exposure
Everywhere,Green,Happy,Everywhere,Cognitive,Following directions,Exposure
A ,Light Blue,Happy,A ,Cognitive,Following directions,Exposure
Old Mac donald had a farm,Light Blue,Neutral,Old Mac donald had a farm,Communication,Sharing ideas,Exposure
e i e i o,Light Blue,Neutral,EE eye EE eye oh,Communication,Expressive language,Demonstrating
Great job,Light Blue,Neutral,Great job,Communication,Receptive language,Demonstrating
You were amazing,Light Blue,Neutral,You were amazing,Communication,Expressive language,Practicing
I love playing with you,Yellow,Happy,I love playing with you,Communication,Expressive language,Exposure
I learned so much,Green,Happy,I learned so much,Communication,Expressive language,Exposure
You were so fun,Yellow,Happy,You were so fun,Social,Compliments,Exposure
what did you think of the game,Light Blue,Neutral,what did you think of the game,Social,Taking turns,Demonstrating
Wow,Blue,Neutral,Wow,Communication,Expressive language,Exposure
Thank you for sharing with me,Pink,Happy,Thank you for sharing with me,Communication,Expressive language,Exposure
I will try to remember that.,Light Blue,Neutral,I will try to remember that.,Communication,Expressive language,Exposure
You have big ideas.,Yellow,Neutral,You have big ideas.,Social,Compliments,Exposure
I will see you next time,Light Blue,Happy,I will see you next time,Social,Compliments,Demonstrating
I hope soon,Light Blue,Happy,I hope soon,Emotional,Respect,Practicing
I need a power nap,Blue,Neutral,I need a power nap,Communication,Expressive language,Understanding
bye bye,Blue,Neutral,bye bye,Communication,Expressive language,Understanding
